,Method,Min,05%CI,Mean,95%CI,Max
0,EgoNetSplitter,0.603,0.603,0.603,0.603,0.603
1,DANMF,0.233,0.233,0.233,0.233,0.233
2,NNSED,0.191,0.191,0.191,0.191,0.191
3,MNMF,0.586,0.586,0.586,0.586,0.586
4,BigClam,0.017,0.017,0.017,0.017,0.017
5,SymmNMF,0.437,0.437,0.437,0.437,0.437
6,GEMSEC,0.254,0.254,0.254,0.254,0.254
7,EdMot,0.487,0.487,0.487,0.487,0.487
8,SCD,0.016,0.016,0.016,0.016,0.016
9,LabelPropagation,-0.0,-0.0,-0.0,-0.0,-0.0
10,Louvain,0.487,0.487,0.487,0.487,0.487
11,Ours,0.606,0.606,0.606,0.606,0.606
