,Method,Min,05%CI,Mean,95%CI,Max
0,EgoNetSplitter,0.086,0.086,0.089,0.086,0.47
1,DANMF,0.4,0.405,0.405,0.405,0.405
2,NNSED,0.091,0.091,0.094,0.091,0.4
3,MNMF,0.147,0.408,0.405,0.408,0.408
4,BigClam,0.0,0.006,0.006,0.006,0.006
5,SymmNMF,0.057,0.057,0.057,0.057,0.105
6,GEMSEC,0.141,0.382,0.38,0.382,0.382
7,EdMot,0.396,0.396,0.397,0.396,0.499
8,SCD,0.394,0.394,0.395,0.394,0.497
9,LabelPropagation,-0.007,-0.003,-0.003,-0.003,-0.003
10,Louvain,0.409,0.409,0.41,0.409,0.499
11,Newman Spectral,0.412,0.412,0.413,0.412,0.499
