,Method,Min,05%CI,Mean,95%CI,Max
0,EgoNetSplitter,0.086,0.086,0.089,0.086,0.408
1,DANMF,0.405,0.405,0.405,0.405,0.408
2,NNSED,0.0,0.091,0.09,0.091,0.091
3,MNMF,0.408,0.408,0.408,0.408,0.408
4,BigClam,0.0,0.006,0.006,0.006,0.006
5,SymmNMF,0.057,0.057,0.059,0.057,0.301
6,GEMSEC,0.382,0.382,0.382,0.382,0.392
7,EdMot,0.396,0.396,0.396,0.396,0.408
8,SCD,0.394,0.394,0.394,0.394,0.408
9,LabelPropagation,-0.013,-0.003,-0.003,-0.003,-0.003
10,Louvain,0.408,0.409,0.409,0.409,0.409
11,Newman Spectral,0.408,0.412,0.412,0.412,0.412
